Region/Country/Area,,Year,Series,Capital City,Capital City footnote,Value
466,Mali,2010,Rural population (percent growth rate per annum),,,2.1
466,Mali,2010,Capital city population (thousands),Bamako,,"1,886"
466,Mali,2010,Capital city population (as a percentage of total population),Bamako,,12.5
466,Mali,2010,Capital city population (as a percentage of total urban population),Bamako,,34.7
466,Mali,2015,Urban population (percent),,,40
466,Mali,2015,Urban population (percent growth rate per annum),,,5
466,Mali,2015,Rural population (percent growth rate per annum),,,1.7
466,Mali,2015,Capital city population (thousands),Bamako,,"2,219"
466,Mali,2015,Capital city population (as a percentage of total population),Bamako,,12.7
466,Mali,2015,Capital city population (as a percentage of total urban population),Bamako,,31.8
466,Mali,2018,Urban population (percent),,,42.4
466,Mali,2018,Capital city population (thousands),Bamako,,"2,447"
470,Malta,2005,Urban population (percent),,,93.6
470,Malta,2005,Urban population (percent growth rate per annum),,,0.8
470,Malta,2005,Rural population (percent growth rate per annum),,,-3.2
470,Malta,2010,Urban population (percent),,,94.1
470,Malta,2010,Urban population (percent growth rate per annum),,,0.5
470,Malta,2010,Rural population (percent growth rate per annum),,,-0.9
470,Malta,2015,Urban population (percent),,,94.4
470,Malta,2015,Urban population (percent growth rate per annum),,,0.6
470,Malta,2015,Rural population (percent growth rate per annum),,,-0.6
470,Malta,2018,Urban population (percent),,,94.6
470,Malta,2018,Capital city population (thousands),Valletta,,213
584,Marshall Islands,2005,Urban population (percent),,,71.1
584,Marshall Islands,2005,Urban population (percent growth rate per annum),,,0.7
584,Marshall Islands,2005,Rural population (percent growth rate per annum),,,-1.7
584,Marshall Islands,2010,Urban population (percent),,,73.6
584,Marshall Islands,2010,Urban population (percent growth rate per annum),,,0.8
584,Marshall Islands,2010,Rural population (percent growth rate per annum),,,-1.6
584,Marshall Islands,2015,Urban population (percent),,,75.8
584,Marshall Islands,2015,Urban population (percent growth rate per annum),,,0.8
584,Marshall Islands,2015,Rural population (percent growth rate per annum),,,-1.6
584,Marshall Islands,2018,Urban population (percent),,,77
584,Marshall Islands,2018,Capital city population (thousands),Majuro,,31
474,Martinique,2005,Urban population (percent),,,89.3
474,Martinique,2005,Urban population (percent growth rate per annum),,,0.4
474,Martinique,2005,Rural population (percent growth rate per annum),,,1.2
474,Martinique,2010,Urban population (percent),,,89.1
474,Martinique,2010,Urban population (percent growth rate per annum),,,-0.2
474,Martinique,2010,Rural population (percent growth rate per annum),,,0.4
474,Martinique,2015,Urban population (percent),,,89
474,Martinique,2015,Urban population (percent growth rate per annum),,,-0.5
474,Martinique,2015,Rural population (percent growth rate per annum),,,-0.3
474,Martinique,2018,Urban population (percent),,,89
474,Martinique,2018,Capital city population (thousands),Fort-de-France,,79
478,Mauritania,2005,Urban population (percent),,,42.1
478,Mauritania,2005,Urban population (percent growth rate per annum),,,4.9
478,Mauritania,2005,Rural population (percent growth rate per annum),,,1.5
478,Mauritania,2005,Capital city population (thousands),Nouakchott,,684
478,Mauritania,2005,Capital city population (as a percentage of total population),Nouakchott,,21.8
478,Mauritania,2005,Capital city population (as a percentage of total urban population),Nouakchott,,51.9
478,Mauritania,2010,Urban population (percent),,,46.6
478,Mauritania,2010,Urban population (percent growth rate per annum),,,4.9
478,Mauritania,2010,Rural population (percent growth rate per annum),,,1.2
478,Mauritania,2010,Capital city population (thousands),Nouakchott,,851
478,Mauritania,2010,Capital city population (as a percentage of total population),Nouakchott,,23.6
478,Mauritania,2010,Capital city population (as a percentage of total urban population),Nouakchott,,50.6
478,Mauritania,2015,Urban population (percent),,,51.1
478,Mauritania,2015,Urban population (percent growth rate per annum),,,4.8
478,Mauritania,2015,Rural population (percent growth rate per annum),,,1.2
478,Mauritania,2015,Capital city population (thousands),Nouakchott,,"1,058"
478,Mauritania,2015,Capital city population (as a percentage of total population),Nouakchott,,25.3
478,Mauritania,2015,Capital city population (as a percentage of total urban population),Nouakchott,,49.5
478,Mauritania,2018,Urban population (percent),,,53.7
478,Mauritania,2018,Capital city population (thousands),Nouakchott,,"1,205"
480,Mauritius,2005,Urban population (percent),,,42.1
480,Mauritius,2005,Urban population (percent growth rate per annum),,,0.3
480,Mauritius,2005,Rural population (percent growth rate per annum),,,0.8
480,Mauritius,2010,Urban population (percent),,,41.6
480,Mauritius,2010,Urban population (percent growth rate per annum),,,0.2
480,Mauritius,2010,Rural population (percent growth rate per annum),,,0.6
480,Mauritius,2015,Urban population (percent),,,41
480,Mauritius,2015,Urban population (percent growth rate per annum),,,-0.1
480,Mauritius,2015,Rural population (percent growth rate per annum),,,0.4
480,Mauritius,2018,Urban population (percent),,,40.8
480,Mauritius,2018,Capital city population (thousands),Port Louis,,149
175,Mayotte,2005,Urban population (percent),,,50.2
175,Mayotte,2005,Urban population (percent growth rate per annum),,,4.4
175,Mayotte,2005,Rural population (percent growth rate per annum),,,2.4
175,Mayotte,2010,Urban population (percent),,,49
175,Mayotte,2010,Urban population (percent growth rate per annum),,,2.7
175,Mayotte,2010,Rural population (percent growth rate per annum),,,3.7
175,Mayotte,2015,Urban population (percent),,,47
175,Mayotte,2015,Urban population (percent growth rate per annum),,,2
175,Mayotte,2015,Rural population (percent growth rate per annum),,,3.6
175,Mayotte,2018,Urban population (percent),,,46.1
175,Mayotte,2018,Capital city population (thousands),Mamoudzou,,6
484,Mexico,2005,Urban population (percent),,,76.3
484,Mexico,2005,Urban population (percent growth rate per annum),,,1.7
484,Mexico,2005,Rural population (percent growth rate per annum),,,0
484,Mexico,2005,Capital city population (thousands),Mexico City,,"19,276"
484,Mexico,2005,Capital city population (as a percentage of total population),Mexico City,,17.8
484,Mexico,2005,Capital city population (as a percentage of total urban population),Mexico City,,23.3
484,Mexico,2010,Urban population (percent),,,77.8
484,Mexico,2010,Urban population (percent growth rate per annum),,,2
484,Mexico,2010,Rural population (percent growth rate per annum),,,0.3
484,Mexico,2010,Capital city population (thousands),Mexico City,,"20,137"
484,Mexico,2010,Capital city population (as a percentage of total population),Mexico City,,17.2
484,Mexico,2010,Capital city population (as a percentage of total urban population),Mexico City,,22.1
484,Mexico,2015,Urban population (percent),,,79.3
484,Mexico,2015,Urban population (percent growth rate per annum),,,1.8
484,Mexico,2015,Rural population (percent growth rate per annum),,,0
484,Mexico,2015,Capital city population (thousands),Mexico City,,"21,340"
484,Mexico,2015,Capital city population (as a percentage of total population),Mexico City,,17
484,Mexico,2015,Capital city population (as a percentage of total urban population),Mexico City,,21.4
484,Mexico,2018,Urban population (percent),,,80.2
484,Mexico,2018,Capital city population (thousands),Mexico City,,"21,581"
583,Micronesia (Fed. States of),2005,Urban population (percent),,,22.3
583,Micronesia (Fed. States of),2005,Urban population (percent growth rate per annum),,,-0.2
583,Micronesia (Fed. States of),2005,Rural population (percent growth rate per annum),,,-0.2
583,Micronesia (Fed. States of),2010,Urban population (percent),,,22.3
583,Micronesia (Fed. States of),2010,Urban population (percent growth rate per annum),,,-0.5
583,Micronesia (Fed. States of),2010,Rural population (percent growth rate per annum),,,-0.5
583,Micronesia (Fed. States of),2015,Urban population (percent),,,22.5
583,Micronesia (Fed. States of),2015,Urban population (percent growth rate per annum),,,0.3
583,Micronesia (Fed. States of),2015,Rural population (percent growth rate per annum),,,0.1
583,Micronesia (Fed. States of),2018,Urban population (percent),,,22.7
583,Micronesia (Fed. States of),2018,Capital city population (thousands),Palikir,,7
492,Monaco,2005,Urban population (percent),,,100
492,Monaco,2005,Urban population (percent growth rate per annum),,,1
492,Monaco,2005,Rural population (percent growth rate per annum),,,0
492,Monaco,2010,Urban population (percent),,,100
492,Monaco,2010,Urban population (percent growth rate per annum),,,1.9
492,Monaco,2010,Rural population (percent growth rate per annum),,,0
492,Monaco,2015,Urban population (percent),,,100
492,Monaco,2015,Urban population (percent growth rate per annum),,,0.6
492,Monaco,2015,Rural population (percent growth rate per annum),,,0
492,Monaco,2018,Urban population (percent),,,100
492,Monaco,2018,Capital city population (thousands),Monaco,,39
496,Mongolia,2005,Urban population (percent),,,62.5
496,Mongolia,2005,Urban population (percent growth rate per annum),,,2.8
496,Mongolia,2005,Rural population (percent growth rate per annum),,,-1.6
496,Mongolia,2005,Capital city population (thousands),Ulaanbaatar,,933
496,Mongolia,2005,Capital city population (as a percentage of total population),Ulaanbaatar,,36.9
496,Mongolia,2005,Capital city population (as a percentage of total urban population),Ulaanbaatar,,59.1
496,Mongolia,2010,Urban population (percent),,,67.6
496,Mongolia,2010,Urban population (percent growth rate per annum),,,3
496,Mongolia,2010,Rural population (percent growth rate per annum),,,-1.5
496,Mongolia,2010,Capital city population (thousands),Ulaanbaatar,,"1,138"
496,Mongolia,2010,Capital city population (as a percentage of total population),Ulaanbaatar,,41.9
496,Mongolia,2010,Capital city population (as a percentage of total urban population),Ulaanbaatar,,62.1
496,Mongolia,2015,Urban population (percent),,,68.2
496,Mongolia,2015,Urban population (percent growth rate per annum),,,2.1
496,Mongolia,2015,Rural population (percent growth rate per annum),,,1.4
496,Mongolia,2015,Capital city population (thousands),Ulaanbaatar,,"1,365"
496,Mongolia,2015,Capital city population (as a percentage of total population),Ulaanbaatar,,45.8
496,Mongolia,2015,Capital city population (as a percentage of total urban population),Ulaanbaatar,,67.2
496,Mongolia,2018,Urban population (percent),,,68.4
496,Mongolia,2018,Capital city population (thousands),Ulaanbaatar,,"1,520"
499,Montenegro,2005,Urban population (percent),,,62.5
499,Montenegro,2005,Urban population (percent growth rate per annum),,,1.4
499,Montenegro,2005,Rural population (percent growth rate per annum),,,-1.9
499,Montenegro,2010,Urban population (percent),,,64.1
499,Montenegro,2010,Urban population (percent growth rate per annum),,,0.8
499,Montenegro,2010,Rural population (percent growth rate per annum),,,-0.7
499,Montenegro,2015,Urban population (percent),,,65.8
499,Montenegro,2015,Urban population (percent growth rate per annum),,,0.6
499,Montenegro,2015,Rural population (percent growth rate per annum),,,-0.8
499,Montenegro,2018,Urban population (percent),,,66.8
499,Montenegro,2018,Capital city population (thousands),Podgorica,,177
500,Montserrat,2005,Urban population (percent),,,9.3
500,Montserrat,2005,Urban population (percent growth rate per annum),,,29.3
500,Montserrat,2005,Rural population (percent growth rate per annum),,,-2.3
500,Montserrat,2010,Urban population (percent),,,9.2
500,Montserrat,2010,Urban population (percent growth rate per annum),,,0.3
500,Montserrat,2010,Rural population (percent growth rate per annum),,,0.7
500,Montserrat,2015,Urban population (percent),,,9
500,Montserrat,2015,Urban population (percent growth rate per annum),,,0.5
500,Montserrat,2015,Rural population (percent growth rate per annum),,,0.7
500,Montserrat,2018,Urban population (percent),,,9.1
500,Montserrat,2018,Capital city population (thousands),Brades Estate,,0
504,Morocco,2005,Urban population (percent),,,55.2
504,Morocco,2005,Urban population (percent growth rate per annum),,,1.8
504,Morocco,2005,Rural population (percent growth rate per annum),,,0.3
504,Morocco,2005,Capital city population (thousands),Rabat,,"1,635"
504,Morocco,2005,Capital city population (as a percentage of total population),Rabat,,5.4
504,Morocco,2005,Capital city population (as a percentage of total urban population),Rabat,,9.7
504,Morocco,2010,Urban population (percent),,,58
504,Morocco,2010,Urban population (percent growth rate per annum),,,2.2
504,Morocco,2010,Rural population (percent growth rate per annum),,,-0.1
504,Morocco,2010,Capital city population (thousands),Rabat,,"1,714"
504,Morocco,2010,Capital city population (as a percentage of total population),Rabat,,5.3
504,Morocco,2010,Capital city population (as a percentage of total urban population),Rabat,,9.1
504,Morocco,2015,Urban population (percent),,,60.8
504,Morocco,2015,Urban population (percent growth rate per annum),,,2.4
504,Morocco,2015,Rural population (percent growth rate per annum),,,0
504,Morocco,2015,Capital city population (thousands),Rabat,,"1,796"
504,Morocco,2015,Capital city population (as a percentage of total population),Rabat,,5.2
504,Morocco,2015,Capital city population (as a percentage of total urban population),Rabat,,8.5
504,Morocco,2018,Urban population (percent),,,62.5
504,Morocco,2018,Capital city population (thousands),Rabat,,"1,847"
508,Mozambique,2005,Urban population (percent),,,30
508,Mozambique,2005,Urban population (percent growth rate per annum),,,3.5
508,Mozambique,2005,Rural population (percent growth rate per annum),,,2.7
508,Mozambique,2005,Capital city population (thousands),Maputo,,"1,072"
508,Mozambique,2005,Capital city population (as a percentage of total population),Maputo,,5.1
508,Mozambique,2005,Capital city population (as a percentage of total urban population),Maputo,,17.1
508,Mozambique,2010,Urban population (percent),,,31.8
508,Mozambique,2010,Urban population (percent growth rate per annum),,,4.1
508,Mozambique,2010,Rural population (percent growth rate per annum),,,2.4
508,Mozambique,2010,Capital city population (thousands),Maputo,,"1,097"
508,Mozambique,2010,Capital city population (as a percentage of total population),Maputo,,4.5
508,Mozambique,2010,Capital city population (as a percentage of total urban population),Maputo,,14.2
508,Mozambique,2015,Urban population (percent),,,34.4
508,Mozambique,2015,Urban population (percent growth rate per annum),,,4.5
508,Mozambique,2015,Rural population (percent growth rate per annum),,,2.1
508,Mozambique,2015,Capital city population (thousands),Maputo,,"1,100"
508,Mozambique,2015,Capital city population (as a percentage of total population),Maputo,,3.9
508,Mozambique,2015,Capital city population (as a percentage of total urban population),Maputo,,11.4
508,Mozambique,2018,Urban population (percent),,,36
508,Mozambique,2018,Capital city population (thousands),Maputo,,"1,102"
104,Myanmar,2005,Urban population (percent),,,27.9
104,Myanmar,2005,Urban population (percent growth rate per annum),,,1.7
104,Myanmar,2005,Rural population (percent growth rate per annum),,,0.8
104,Myanmar,2005,Capital city population (thousands),Nay Pyi Taw,,148
104,Myanmar,2005,Capital city population (as a percentage of total population),Nay Pyi Taw,,0.3
104,Myanmar,2005,Capital city population (as a percentage of total urban population),Nay Pyi Taw,,1.1
104,Myanmar,2010,Urban population (percent),,,28.9
104,Myanmar,2010,Urban population (percent growth rate per annum),,,1.3
104,Myanmar,2010,Rural population (percent growth rate per annum),,,0.4
104,Myanmar,2010,Capital city population (thousands),Nay Pyi Taw,,234
104,Myanmar,2010,Capital city population (as a percentage of total population),Nay Pyi Taw,,0.5
104,Myanmar,2010,Capital city population (as a percentage of total urban population),Nay Pyi Taw,,1.6
104,Myanmar,2015,Urban population (percent),,,29.9
104,Myanmar,2015,Urban population (percent growth rate per annum),,,1.5
104,Myanmar,2015,Rural population (percent growth rate per annum),,,0.6
104,Myanmar,2015,Capital city population (thousands),Nay Pyi Taw,,376
104,Myanmar,2015,Capital city population (as a percentage of total population),Nay Pyi Taw,,0.7
104,Myanmar,2015,Capital city population (as a percentage of total urban population),Nay Pyi Taw,,2.4
104,Myanmar,2018,Urban population (percent),,,30.6
104,Myanmar,2018,Capital city population (thousands),Nay Pyi Taw,,500
516,Namibia,2005,Urban population (percent),,,36.6
516,Namibia,2005,Urban population (percent growth rate per annum),,,3.8
516,Namibia,2005,Rural population (percent growth rate per annum),,,0.1
516,Namibia,2005,Capital city population (thousands),Windhoek,,268
516,Namibia,2005,Capital city population (as a percentage of total population),Windhoek,,13.2
516,Namibia,2005,Capital city population (as a percentage of total urban population),Windhoek,,36.1
516,Namibia,2010,Urban population (percent),,,41.6
516,Namibia,2010,Urban population (percent growth rate per annum),,,3.9
516,Namibia,2010,Rural population (percent growth rate per annum),,,-0.3
516,Namibia,2010,Capital city population (thousands),Windhoek,,314
516,Namibia,2010,Capital city population (as a percentage of total population),Windhoek,,14.5
516,Namibia,2010,Capital city population (as a percentage of total urban population),Windhoek,,34.7
516,Namibia,2015,Urban population (percent),,,46.9
516,Namibia,2015,Urban population (percent growth rate per annum),,,4.6
516,Namibia,2015,Rural population (percent growth rate per annum),,,0.3
516,Namibia,2015,Capital city population (thousands),Windhoek,,368
516,Namibia,2015,Capital city population (as a percentage of total population),Windhoek,,15.2
516,Namibia,2015,Capital city population (as a percentage of total urban population),Windhoek,,32.3
516,Namibia,2018,Urban population (percent),,,50
516,Namibia,2018,Capital city population (thousands),Windhoek,,404
520,Nauru,2005,Urban population (percent),,,100
520,Nauru,2005,Urban population (percent growth rate per annum),,,0.2
520,Nauru,2005,Rural population (percent growth rate per annum),,,0
520,Nauru,2010,Urban population (percent),,,100
520,Nauru,2010,Urban population (percent growth rate per annum),,,-0.2
520,Nauru,2010,Rural population (percent growth rate per annum),,,0
520,Nauru,2015,Urban population (percent),,,100
520,Nauru,2015,Urban population (percent growth rate per annum),,,2.3
520,Nauru,2015,Rural population (percent growth rate per annum),,,0
520,Nauru,2018,Urban population (percent),,,100
520,Nauru,2018,Capital city population (thousands),Yaren,,11
524,Nepal,2005,Urban population (percent),,,15.1
524,Nepal,2005,Urban population (percent growth rate per annum),,,4
524,Nepal,2005,Rural population (percent growth rate per annum),,,1.1
524,Nepal,2005,Capital city population (thousands),Kathmandu,,790
524,Nepal,2005,Capital city population (as a percentage of total population),Kathmandu,,3.1
524,Nepal,2005,Capital city population (as a percentage of total urban population),Kathmandu,,20.3
524,Nepal,2010,Urban population (percent),,,16.8
524,Nepal,2010,Urban population (percent growth rate per annum),,,3.1
524,Nepal,2010,Rural population (percent growth rate per annum),,,0.7
524,Nepal,2010,Capital city population (thousands),Kathmandu,,965
524,Nepal,2010,Capital city population (as a percentage of total population),Kathmandu,,3.6
524,Nepal,2010,Capital city population (as a percentage of total urban population),Kathmandu,,21.3
524,Nepal,2015,Urban population (percent),,,18.6
524,Nepal,2015,Urban population (percent growth rate per annum),,,3.2
524,Nepal,2015,Rural population (percent growth rate per annum),,,0.7
524,Nepal,2015,Capital city population (thousands),Kathmandu,,"1,179"
524,Nepal,2015,Capital city population (as a percentage of total population),Kathmandu,,4.1
524,Nepal,2015,Capital city population (as a percentage of total urban population),Kathmandu,,22.2
524,Nepal,2018,Urban population (percent),,,19.7
524,Nepal,2018,Capital city population (thousands),Kathmandu,,"1,330"
528,Netherlands,2005,Urban population (percent),,,82.6
528,Netherlands,2005,Urban population (percent growth rate per annum),,,2
528,Netherlands,2005,Rural population (percent growth rate per annum),,,-5.2
528,Netherlands,2005,Capital city population (thousands),Amsterdam,Amsterdam is the capital and The Hague is the seat of government.,"1,025"
528,Netherlands,2005,Capital city population (as a percentage of total population),Amsterdam,Amsterdam is the capital and The Hague is the seat of government.,6.3
528,Netherlands,2005,Capital city population (as a percentage of total urban population),Amsterdam,Amsterdam is the capital and The Hague is the seat of government.,7.6
528,Netherlands,2010,Urban population (percent),,,87.1
528,Netherlands,2010,Urban population (percent growth rate per annum),,,1.4
528,Netherlands,2010,Rural population (percent growth rate per annum),,,-5.6
528,Netherlands,2010,Capital city population (thousands),Amsterdam,Amsterdam is the capital and The Hague is the seat of government.,"1,065"
528,Netherlands,2010,Capital city population (as a percentage of total population),Amsterdam,Amsterdam is the capital and The Hague is the seat of government.,6.4
528,Netherlands,2010,Capital city population (as a percentage of total urban population),Amsterdam,Amsterdam is the capital and The Hague is the seat of government.,7.3
528,Netherlands,2015,Urban population (percent),,,90.2
528,Netherlands,2015,Urban population (percent growth rate per annum),,,1
528,Netherlands,2015,Rural population (percent growth rate per annum),,,-5.1
528,Netherlands,2015,Capital city population (thousands),Amsterdam,Amsterdam is the capital and The Hague is the seat of government.,"1,106"
528,Netherlands,2015,Capital city population (as a percentage of total population),Amsterdam,Amsterdam is the capital and The Hague is the seat of government.,6.5
528,Netherlands,2015,Capital city population (as a percentage of total urban population),Amsterdam,Amsterdam is the capital and The Hague is the seat of government.,7.2
528,Netherlands,2018,Urban population (percent),,,91.5
528,Netherlands,2018,Capital city population (thousands),Amsterdam,Amsterdam is the capital and The Hague is the seat of government.,"1,132"
540,New Caledonia,2005,Urban population (percent),,,64
540,New Caledonia,2005,Urban population (percent growth rate per annum),,,2.4
540,New Caledonia,2005,Rural population (percent growth rate per annum),,,0.7
540,New Caledonia,2010,Urban population (percent),,,67.1
540,New Caledonia,2010,Urban population (percent growth rate per annum),,,2.5
540,New Caledonia,2010,Rural population (percent growth rate per annum),,,-0.3
540,New Caledonia,2015,Urban population (percent),,,69.4
540,New Caledonia,2015,Urban population (percent growth rate per annum),,,2.1
540,New Caledonia,2015,Rural population (percent growth rate per annum),,,0
540,New Caledonia,2018,Urban population (percent),,,70.7
540,New Caledonia,2018,Capital city population (thousands),Nouméa,,198
554,New Zealand,2005,Urban population (percent),,,86.3
554,New Zealand,2005,Urban population (percent growth rate per annum),,,1.5
554,New Zealand,2005,Rural population (percent growth rate per annum),,,0.9
554,New Zealand,2005,Capital city population (thousands),Wellington,,371
554,New Zealand,2005,Capital city population (as a percentage of total population),Wellington,,9
554,New Zealand,2005,Capital city population (as a percentage of total urban population),Wellington,,10.4
554,New Zealand,2010,Urban population (percent),,,86.2
554,New Zealand,2010,Urban population (percent growth rate per annum),,,1.1
554,New Zealand,2010,Rural population (percent growth rate per annum),,,1.4
554,New Zealand,2010,Capital city population (thousands),Wellington,,387
554,New Zealand,2010,Capital city population (as a percentage of total population),Wellington,,8.9
554,New Zealand,2010,Capital city population (as a percentage of total urban population),Wellington,,10.3
554,New Zealand,2015,Urban population (percent),,,86.3
554,New Zealand,2015,Urban population (percent growth rate per annum),,,1.1
554,New Zealand,2015,Rural population (percent growth rate per annum),,,0.8
554,New Zealand,2015,Capital city population (thousands),Wellington,,402
554,New Zealand,2015,Capital city population (as a percentage of total population),Wellington,,8.7
554,New Zealand,2015,Capital city population (as a percentage of total urban population),Wellington,,10.1
554,New Zealand,2018,Urban population (percent),,,86.5
554,New Zealand,2018,Capital city population (thousands),Wellington,,411
558,Nicaragua,2005,Urban population (percent),,,55.9
558,Nicaragua,2005,Urban population (percent growth rate per annum),,,1.6
558,Nicaragua,2005,Rural population (percent growth rate per annum),,,1
558,Nicaragua,2005,Capital city population (thousands),Managua,,910
558,Nicaragua,2005,Capital city population (as a percentage of total population),Managua,,16.9
558,Nicaragua,2005,Capital city population (as a percentage of total urban population),Managua,,30.3
558,Nicaragua,2010,Urban population (percent),,,56.9
558,Nicaragua,2010,Urban population (percent growth rate per annum),,,1.6
558,Nicaragua,2010,Rural population (percent growth rate per annum),,,0.8
558,Nicaragua,2010,Capital city population (thousands),Managua,,992
558,Nicaragua,2010,Capital city population (as a percentage of total population),Managua,,17.3
558,Nicaragua,2010,Capital city population (as a percentage of total urban population),Managua,,30.4
558,Nicaragua,2015,Urban population (percent),,,57.9
558,Nicaragua,2015,Urban population (percent growth rate per annum),,,1.5
558,Nicaragua,2015,Rural population (percent growth rate per annum),,,0.7
558,Nicaragua,2015,Capital city population (thousands),Managua,,"1,027"
558,Nicaragua,2015,Capital city population (as a percentage of total population),Managua,,16.9
558,Nicaragua,2015,Capital city population (as a percentage of total urban population),Managua,,29.2
558,Nicaragua,2018,Urban population (percent),,,58.5
558,Nicaragua,2018,Capital city population (thousands),Managua,,"1,048"
562,Niger,2005,Urban population (percent),,,16.2
562,Niger,2005,Urban population (percent growth rate per annum),,,3.7
562,Niger,2005,Rural population (percent growth rate per annum),,,3.6
562,Niger,2005,Capital city population (thousands),Niamey,,821
562,Niger,2005,Capital city population (as a percentage of total population),Niamey,,6
562,Niger,2005,Capital city population (as a percentage of total urban population),Niamey,,37.1
562,Niger,2010,Urban population (percent),,,16.2
562,Niger,2010,Urban population (percent growth rate per annum),,,3.7
562,Niger,2010,Rural population (percent growth rate per annum),,,3.8
562,Niger,2010,Capital city population (thousands),Niamey,,954
562,Niger,2010,Capital city population (as a percentage of total population),Niamey,,5.8
562,Niger,2010,Capital city population (as a percentage of total urban population),Niamey,,35.8
562,Niger,2015,Urban population (percent),,,16.2
562,Niger,2015,Urban population (percent growth rate per annum),,,3.9
562,Niger,2015,Rural population (percent growth rate per annum),,,3.8
562,Niger,2015,Capital city population (thousands),Niamey,,"1,109"
562,Niger,2015,Capital city population (as a percentage of total population),Niamey,,5.6
562,Niger,2015,Capital city population (as a percentage of total urban population),Niamey,,34.3
562,Niger,2018,Urban population (percent),,,16.4
562,Niger,2018,Capital city population (thousands),Niamey,,"1,214"
566,Nigeria,2005,Urban population (percent),,,39.1
566,Nigeria,2005,Urban population (percent growth rate per annum),,,4.8
566,Nigeria,2005,Rural population (percent growth rate per annum),,,1.2
566,Nigeria,2005,Capital city population (thousands),Abuja,,"1,316"
566,Nigeria,2005,Capital city population (as a percentage of total population),Abuja,,0.9
566,Nigeria,2005,Capital city population (as a percentage of total urban population),Abuja,,2.4
566,Nigeria,2010,Urban population (percent),,,43.5
566,Nigeria,2010,Urban population (percent growth rate per annum),,,4.8
566,Nigeria,2010,Rural population (percent growth rate per annum),,,1.1
566,Nigeria,2010,Capital city population (thousands),Abuja,,"1,814"
566,Nigeria,2010,Capital city population (as a percentage of total population),Abuja,,1.1
566,Nigeria,2010,Capital city population (as a percentage of total urban population),Abuja,,2.6
566,Nigeria,2015,Urban population (percent),,,47.8
566,Nigeria,2015,Urban population (percent growth rate per annum),,,4.6
566,Nigeria,2015,Rural population (percent growth rate per annum),,,1.1
566,Nigeria,2015,Capital city population (thousands),Abuja,,"2,442"
566,Nigeria,2015,Capital city population (as a percentage of total population),Abuja,,1.3
566,Nigeria,2015,Capital city population (as a percentage of total urban population),Abuja,,2.8
566,Nigeria,2018,Urban population (percent),,,50.3
566,Nigeria,2018,Capital city population (thousands),Abuja,,"2,919"
570,Niue,2005,Urban population (percent),,,35.2
570,Niue,2005,Urban population (percent growth rate per annum),,,-1.1
570,Niue,2005,Rural population (percent growth rate per annum),,,-3.1
570,Niue,2010,Urban population (percent),,,38.7
570,Niue,2010,Urban population (percent growth rate per annum),,,1.2
570,Niue,2010,Rural population (percent growth rate per annum),,,-1.7
570,Niue,2015,Urban population (percent),,,42.6
570,Niue,2015,Urban population (percent growth rate per annum),,,1.9
570,Niue,2015,Rural population (percent growth rate per annum),,,-1.3
570,Niue,2018,Urban population (percent),,,44.8
570,Niue,2018,Capital city population (thousands),Alofi,,1
580,Northern Mariana Islands,2005,Urban population (percent),,,90.6
580,Northern Mariana Islands,2005,Urban population (percent growth rate per annum),,,-1.5
580,Northern Mariana Islands,2005,Rural population (percent growth rate per annum),,,-2.5
580,Northern Mariana Islands,2010,Urban population (percent),,,90.9
580,Northern Mariana Islands,2010,Urban population (percent growth rate per annum),,,-3.1
580,Northern Mariana Islands,2010,Rural population (percent growth rate per annum),,,-4
580,Northern Mariana Islands,2010,Capital city population (thousands),Garapan,,4
580,Northern Mariana Islands,2015,Urban population (percent),,,91.4
580,Northern Mariana Islands,2015,Urban population (percent growth rate per annum),,,0.2
580,Northern Mariana Islands,2015,Rural population (percent growth rate per annum),,,-0.8
580,Northern Mariana Islands,2018,Urban population (percent),,,91.6
578,Norway,2005,Urban population (percent),,,77.7
578,Norway,2005,Urban population (percent growth rate per annum),,,1
578,Norway,2005,Rural population (percent growth rate per annum),,,-0.8
578,Norway,2005,Capital city population (thousands),Oslo,,818
578,Norway,2005,Capital city population (as a percentage of total population),Oslo,,17.7
578,Norway,2005,Capital city population (as a percentage of total urban population),Oslo,,22.7
578,Norway,2010,Urban population (percent),,,79.1
578,Norway,2010,Urban population (percent growth rate per annum),,,1.4
578,Norway,2010,Rural population (percent growth rate per annum),,,-0.3
578,Norway,2010,Capital city population (thousands),Oslo,,898
578,Norway,2010,Capital city population (as a percentage of total population),Oslo,,18.4
578,Norway,2010,Capital city population (as a percentage of total urban population),Oslo,,23.2
578,Norway,2015,Urban population (percent),,,81.1
578,Norway,2015,Urban population (percent growth rate per annum),,,1.7
578,Norway,2015,Rural population (percent growth rate per annum),,,-0.8
578,Norway,2015,Capital city population (thousands),Oslo,,969
578,Norway,2015,Capital city population (as a percentage of total population),Oslo,,18.6
578,Norway,2015,Capital city population (as a percentage of total urban population),Oslo,,23
578,Norway,2018,Urban population (percent),,,82.2
578,Norway,2018,Capital city population (thousands),Oslo,,"1,012"
512,Oman,2005,Urban population (percent),,,72.4
512,Oman,2005,Urban population (percent growth rate per annum),,,2.3
512,Oman,2005,Rural population (percent growth rate per annum),,,1.4
512,Oman,2005,Capital city population (thousands),Muscat,,622
512,Oman,2005,Capital city population (as a percentage of total population),Muscat,,24.8
